,sentence_id,word_len,word
942,46,3,her
943,46,4,then
944,46,4,said
945,46,3,she
946,46,3,had
947,46,5,never
948,46,4,lost
949,46,3,her
950,46,5,smile
951,46,2,or
952,46,3,the
953,46,5,glint
954,46,2,of
955,46,9,innocence
956,46,2,in
957,46,3,her
958,46,10,entrapping
959,46,4,blue
960,46,4,eyes
961,56,3,The
962,56,3,one
963,56,4,time
964,56,1,I
965,56,3,was
966,56,4,able
967,56,2,to
968,56,3,see
969,56,6,inside
970,56,1,I
971,56,3,was
972,56,10,astonished
973,56,2,at
974,56,3,the
975,56,6,amount
976,56,2,of
977,56,5,paper
978,56,7,stacked
979,56,2,in
980,56,3,the
981,56,7,corners
982,56,2,of
983,56,3,the
984,56,4,room
985,56,3,and
986,56,4,upon
987,56,3,the
988,56,7,shelves
989,57,11,Overflowing
990,57,4,from
991,57,8,"drawers,"
992,57,3,the
993,57,4,room
994,57,6,looked
995,57,2,as
996,57,2,if
997,57,2,it
998,57,9,contained
999,57,2,no
1000,57,7,corners
1001,57,4,just
1002,57,2,an
1003,57,5,array
1004,57,2,of
1005,57,6,papery
1006,57,6,angles
1007,57,5,ready
1008,57,2,to
1009,57,4,give
1010,57,3,way
1011,57,2,at
1012,57,3,the
1013,57,9,slightest
1014,57,11,molestation
1015,60,1,A
1016,60,4,pair
1017,60,2,of
1018,60,8,"circles,"
1019,60,7,reddish
1020,60,2,in
1021,60,6,"color,"
1022,60,3,the
1023,60,4,size
1024,60,2,of
1025,60,1,a
1026,60,6,copper
1027,60,5,"coin,"
1028,60,4,were
1029,60,5,found
1030,60,2,on
1031,60,3,the
1032,60,5,sides
1033,60,2,of
1034,60,3,his
1035,60,4,neck
1036,63,3,For
1037,63,3,one
1038,63,3,day
1039,63,2,we
1040,63,3,saw
1041,63,7,Bernard
1042,63,4,exit
1043,63,3,his
1044,63,5,study
1045,63,2,as
1046,63,3,his
1047,63,6,little
1048,63,5,boy’s
1049,63,4,body
1050,63,3,was
1051,63,6,burned
1052,63,4,upon
1053,63,6,orders
1054,63,4,from
1055,63,3,the
1056,63,6,doctor
1057,70,4,What
1058,70,6,little
1059,70,2,of
1060,70,1,a
1061,70,8,playmate
1062,70,3,her
1063,70,7,brother
1064,70,3,had
1065,70,4,been
1066,70,8,mattered
1067,70,3,not
1068,70,2,to
1069,70,7,Heather
1070,71,3,She
1071,50,3,her
1072,50,6,family
1073,50,4,poor
1074,50,2,as
1075,50,4,they
1076,50,5,"were,"
1077,50,6,seemed
1078,50,2,to
1079,50,2,be
1080,50,2,on
1081,50,3,the
1082,50,4,rise
1083,50,5,again
1084,59,2,On
1085,59,8,Heathers
1086,59,7,twelfth
1087,59,8,birthday
1088,59,3,her
1089,59,7,brother
1090,59,3,was
1091,59,5,found
1092,59,8,deceased
1093,59,2,in
1094,59,3,his
1095,59,3,bed
1096,68,6,Others
1097,68,4,that
1098,68,3,day
1099,68,4,when
1100,68,5,asked
1101,68,4,said
1102,68,2,he
1103,68,6,showed
1104,68,2,no
1105,68,7,emotion
1106,75,6,People
1107,75,5,began
1108,75,2,to
1109,75,8,question
1110,75,4,what
1111,75,3,sin
1112,75,4,this
1113,75,6,family
1114,75,3,had
1115,75,9,committed
1116,75,2,to
1117,75,4,have
1118,75,2,so
1119,75,4,much
1120,75,8,negative
1121,75,6,energy
1122,75,7,focused
1123,75,4,upon
1124,75,4,them
1125,76,6,People
1126,76,7,shunned
1127,76,3,the
1128,76,6,street
1129,76,3,and
1130,76,8,children
1131,76,6,called
1132,76,3,out
1133,76,5,names
1134,76,2,to
1135,76,3,the
1136,76,6,lonely
1137,76,6,little
1138,76,4,girl
1139,76,6,behind
1140,76,3,the
1141,76,5,dirty
1142,76,5,glass
1143,76,2,of
1144,76,3,the
1145,76,4,home
1146,82,7,Heather
1147,82,1,I
1148,82,5,found
1149,82,2,to
1150,82,2,be
1151,82,1,a
1152,82,6,bright
1153,82,5,"girl,"
1154,82,6,always
1155,82,4,with
1156,82,1,a
1157,82,6,"smile,"
1158,82,4,less
1159,82,2,so
1160,82,6,bright
1161,82,3,now
1162,82,4,that
1163,82,3,her
1164,82,7,brother
1165,82,5,"died,"
1166,82,3,but
1167,82,1,a
1168,82,5,smile
1169,82,11,nonetheless
1170,31,0,
1171,91,9,Heather’s
1172,91,5,heart
1173,91,6,seemed
1174,91,2,to
1175,91,2,be
1176,91,2,on
1177,91,3,the
1178,91,5,verge
1179,91,2,of
1180,91,8,breaking
1181,94,9,Heather’s
1182,94,5,heart
1183,94,3,did
1184,94,3,not
1185,94,4,seem
1186,94,2,to
1187,94,4,know
1188,94,3,how
1189,94,2,to
1190,94,6,detest
1191,94,1,a
1192,94,6,person
1193,100,1,I
1194,100,3,for
1195,100,3,one
1196,100,6,cannot
1197,100,3,say
1198,100,4,that
1199,100,1,I
1200,100,3,did
1201,100,4,ever
1202,100,3,see
1203,100,1,a
1204,100,6,rodent
1205,54,2,us
1206,54,5,would
1207,54,5,stand
1208,54,7,outside
1209,54,3,his
1210,54,5,"door,"
1211,54,2,me
1212,54,9,listening
1213,54,2,to
1214,54,1,a
1215,54,3,pen
1216,54,8,scribble
1217,54,9,furiously
1218,54,11,accompanied
1219,54,2,by
1220,54,9,muttering
1221,54,3,and
1222,54,7,Heather
1223,54,6,trying
1224,54,11,desperately
1225,54,2,to
1226,54,4,peer
1227,54,7,through
1228,54,3,the
1229,54,4,tiny
1230,54,7,keyhole
1231,61,1,I
1232,61,4,have
1233,61,4,this
1234,61,11,information
1235,61,6,second
1236,61,4,hand
1237,61,4,from
1238,61,7,Heather
1239,61,2,as
1240,61,1,I
1241,61,7,arrived
1242,61,4,much
1243,61,5,later
1244,61,2,in
1245,61,3,the
1246,61,3,day
1247,61,5,after
1248,61,9,receiving
1249,61,1,a
1250,61,8,telegram
1251,61,4,from
1252,61,3,the
1253,61,5,Watch
1254,62,3,The
1255,62,6,doctor
1256,62,4,that
1257,62,3,had
1258,62,4,been
1259,62,6,called
1260,62,3,had
1261,62,9,instantly
