,word,count
1055,cheer,1
1056,copper,1
1057,grown,2
1058,anywhere,1
1059,"however,",4
1060,"coffee,",1
1061,flights,2
1062,rain,2
1063,storage,1
1064,inquisitive,1
1065,"act,",1
1066,Admitting,1
1067,knit,1
1068,cold,2
1069,symptoms,1
1070,anticipated,1
1071,sleeping,1
1072,locked,1
1073,scalp,1
1074,tune,1
1075,Heather’s,10
1076,landscape,1
1077,home,15
1078,voice,2
1079,pulled,1
1080,We,3
1081,unusually,1
1082,wrong,2
1083,clung,1
1084,originally,1
1085,Whippoorwills,2
1086,Embarrassed,1
1087,"shoulders,",1
1088,questioned,3
1089,owned,1
1090,fire,3
1091,opportunity,1
1092,"old,",1
1093,"nature,",1
1094,brain,1
1095,Bernard,12
1096,responded,1
1097,innocent,2
1098,"ago,",2
1099,him,19
1100,peoples,1
1101,venture,1
1102,seamstress,1
1103,studies,1
1104,support,2
1105,council,1
1106,scrawled,1
1107,"drawers,",1
1108,victim,4
1109,corse,1
1110,crowed,1
1111,substance,1
1112,triple,1
1113,examples,1
1114,post,1
1115,screeched,1
1116,"pseudonym,",1
1117,simply,6
1118,size,2
1119,"white,",1
1120,tower’s,1
1121,entering,1
1122,family,10
1123,job,1
1124,blemish,1
1125,"leave,",1
1126,papery,1
1127,force,2
1128,Taking,1
1129,presence,1
1130,space,1
1131,tails,1
1132,sulfur,2
1133,why,1
1134,scrubbing,1
1135,stating,1
1136,bit,2
1137,window;,1
1138,squat,1
1139,stolen,3
1140,investigate,1
1141,laying,1
1142,rarely,2
1143,missing,2
1144,tell,3
1145,mortar,1
1146,still,5
1147,laughed,2
1148,move,5
1149,"listen,",1
1150,machination,1
1151,"left,",1
1152,temperature,1
1153,paper,6
1154,song,1
1155,"does,",1
1156,inches,2
1157,explanation,3
1158,Either,1
1159,teeth,2
1160,down,12
1161,Together,1
1162,knocking,1
1163,now,14
1164,group,1
1165,reader,1
1166,answer,3
1167,thirteenth,1
1168,quickly,3
1169,made,7
1170,attendees,3
1171,on,60
1172,whom,2
1173,judge,2
1174,"question,",2
1175,astonishing,1
1176,wrapping,1
1177,vulgar,1
1178,younger,1
1179,mess,3
1180,room,10
1181,sure,2
1182,deserves,1
1183,reply,1
1184,matron,1
1185,pass,3
1186,onto,1
1187,elite,1
1188,downfall,1
1189,remanded,1
1190,frown,1
1191,black,2
1192,believe,1
1193,lessons,1
1194,silence,4
1195,stone,2
1196,ignorant,1
1197,sight,2
1198,thin,1
1199,razor,1
1200,raise,1
1201,bedrock,1
1202,anew,1
1203,Perish,1
1204,Including,1
1205,you,9
1206,few,13
1207,weeks,1
1208,parting,1
1209,startled,1
1210,huge,1
1211,speech,5
1212,"breathless,",1
1213,science,2
1214,tension,1
1215,library,4
1216,hips,1
1217,follow,2
1218,ritual,1
1219,feared;,1
1220,starting,1
1221,crystal,1
1222,visages,1
1223,memorized,1
1224,utter,1
1225,agreed,1
1226,front,6
1227,"them,",2
1228,maid;,1
1229,damage,2
1230,Howard’s,1
1231,"idea,",1
1232,perpetuated,1
1233,conference,2
1234,wanted,4
1235,assured,3
1236,am,3
1237,conductor,1
1238,truth,3
1239,different,2
1240,riot,1
1241,ward,3
1242,weighed,1
1243,"reign,",1
1244,wads,1
1245,six,3
1246,outside,6
1247,"cold,",1
1248,"daughter,",4
1249,pale,1
1250,followed,2
1251,scandal,1
1252,refilled,2
1253,kitchen,1
1254,no,44
1255,worn,1
1256,blood,2
1257,"commissioner,",1
1258,Health,1
1259,butt,1
1260,uneducated,1
1261,Mad,1
1262,girl’s,3
1263,alter,1
1264,About,1
1265,growing,4
1266,conquered,1
1267,doors,2
1268,slowly,6
1269,striking,1
1270,theologian’s,1
1271,slip,2
1272,‘humoring,1
1273,consumed,1
1274,This,5
1275,With,9
1276,cancer,1
1277,farmhouse,1
1278,distress,1
1279,svelte,1
1280,harm,1
1281,adjusting,1
1282,garnered,1
1283,quicker,1
1284,feared,2
1285,bizarre,1
1286,souls,3
1287,grainy,1
1288,catch,3
1289,"research,",1
1290,radiant,1
1291,"mine,",1
1292,stacked,2
1293,story,5
1294,blind,1
1295,study,8
1296,thread,2
1297,brothers,2
1298,He,11
1299,contracts,1
1300,consciousness,1
1301,certainly,1
1302,shelves,1
1303,desire,1
1304,ransom,1
1305,evidence,4
1306,mind,12
1307,things,1
1308,In,12
1309,his,69
1310,applause,1
1311,everyone,5
1312,scars,4
1313,hint,1
1314,charted,1
1315,replied,2
1316,"holes,",1
1317,plow,1
1318,stamped,1
1319,sobs,1
1320,"feet,",1
1321,lard,1
1322,altogether,1
1323,wringing,1
1324,robbery,1
1325,adolescent,2
1326,blotchy,1
1327,winters,1
1328,minds,3
1329,"levels,",1
1330,child’s,1
1331,emulate,1
1332,If,2
1333,mass,2
1334,gather,1
1335,There,6
1336,"panic”,",1
1337,funding,2
1338,grave,1
1339,frustration,1
1340,curtains,1
1341,darling,1
1342,accepted,1
1343,stabbed,1
1344,"arrived,",1
1345,Only,5
1346,Shore,1
1347,then,17
1348,contemplative,1
